"Step","lowest_JSDiv_NovelD - curiosity_reward","lowest_JSDiv_NovelD - curiosity_reward__MIN","lowest_JSDiv_NovelD - curiosity_reward__MAX"
"10000","10","10","10"
"20000","4.491993427276611","4.491993427276611","4.491993427276611"
"30000","2.3684420585632324","2.3684420585632324","2.3684420585632324"
"40000","1.3047378063201904","1.3047378063201904","1.3047378063201904"
"50000","0.09871510416269302","0.09871510416269302","0.09871510416269302"
"60000","0.11733446270227432","0.11733446270227432","0.11733446270227432"
"70000","0.08443406224250793","0.08443406224250793","0.08443406224250793"
"80000","0.08059418201446533","0.08059418201446533","0.08059418201446533"
"90000","0.07766325026750565","0.07766325026750565","0.07766325026750565"
"100000","0.09827792644500732","0.09827792644500732","0.09827792644500732"
"110000","0.12911906838417053","0.12911906838417053","0.12911906838417053"
"120000","0.0861521065235138","0.0861521065235138","0.0861521065235138"
"130000","0.06757459044456482","0.06757459044456482","0.06757459044456482"
"140000","0.07447435706853867","0.07447435706853867","0.07447435706853867"
"150000","0.06159985810518265","0.06159985810518265","0.06159985810518265"
"160000","0.09268539398908615","0.09268539398908615","0.09268539398908615"
"170000","0.04880461469292641","0.04880461469292641","0.04880461469292641"
"180000","0.058163393288850784","0.058163393288850784","0.058163393288850784"
"190000","0.04407193511724472","0.04407193511724472","0.04407193511724472"
"200000","0.045031603425741196","0.045031603425741196","0.045031603425741196"
"210000","0.02632772922515869","0.02632772922515869","0.02632772922515869"
"220000","0.025772683322429657","0.025772683322429657","0.025772683322429657"
"230000","0.03088146634399891","0.03088146634399891","0.03088146634399891"
"240000","0.0690094605088234","0.0690094605088234","0.0690094605088234"
"250000","0.015476854518055916","0.015476854518055916","0.015476854518055916"
"260000","0.02606317214667797","0.02606317214667797","0.02606317214667797"
"270000","0.02654644474387169","0.02654644474387169","0.02654644474387169"
"280000","0.02731303870677948","0.02731303870677948","0.02731303870677948"
"290000","0.009378165937960148","0.009378165937960148","0.009378165937960148"
"300000","0.024362025782465935","0.024362025782465935","0.024362025782465935"
"310000","0.031088372692465782","0.031088372692465782","0.031088372692465782"
"320000","0.021350521594285965","0.021350521594285965","0.021350521594285965"
"330000","0.011221491731703281","0.011221491731703281","0.011221491731703281"
"340000","0.01007489487528801","0.01007489487528801","0.01007489487528801"
"350000","0.09636435657739639","0.09636435657739639","0.09636435657739639"
"360000","0.021417219191789627","0.021417219191789627","0.021417219191789627"
"370000","0.016144951805472374","0.016144951805472374","0.016144951805472374"
"380000","0.017788147553801537","0.017788147553801537","0.017788147553801537"
"390000","0.027183542028069496","0.027183542028069496","0.027183542028069496"
"400000","0.022282181307673454","0.022282181307673454","0.022282181307673454"
"410000","0.01152655016630888","0.01152655016630888","0.01152655016630888"
"420000","0.011797918006777763","0.011797918006777763","0.011797918006777763"
"430000","0.023071426898241043","0.023071426898241043","0.023071426898241043"
"440000","0.012676134705543518","0.012676134705543518","0.012676134705543518"
"450000","0.010799698531627655","0.010799698531627655","0.010799698531627655"
"460000","0.01103249192237854","0.01103249192237854","0.01103249192237854"
"470000","0.02632356435060501","0.02632356435060501","0.02632356435060501"
"480000","0.030222084373235703","0.030222084373235703","0.030222084373235703"
"490000","0.017468109726905823","0.017468109726905823","0.017468109726905823"
"500000","0.015029543079435825","0.015029543079435825","0.015029543079435825"
"510000","0.01213875599205494","0.01213875599205494","0.01213875599205494"
"520000","0.01285792887210846","0.01285792887210846","0.01285792887210846"
"530000","0.0042297691106796265","0.0042297691106796265","0.0042297691106796265"
"540000","0.012180477380752563","0.012180477380752563","0.012180477380752563"
"550000","0.02895871177315712","0.02895871177315712","0.02895871177315712"
"560000","0.023349091410636902","0.023349091410636902","0.023349091410636902"
"570000","0.005433994345366955","0.005433994345366955","0.005433994345366955"
