entropy,step,episode,average_js_divergence,median_js_divergence,min_js_divergence,max_js_divergence,std_js_divergence,average_kl_divergence,median_kl_divergence,min_kl_divergence,max_kl_divergence,std_kl_divergence
0,100000,,0.035157497672749616,0.017649227452434635,0,0.23554213077295977,0.055100177,0.11659007510621852,0.051293294362811374,0,0.7662176073499188,0.17909329870184829
0,200000,,0.033326602,0.017649227452434635,0,0.23554213077295977,0.055524580224315424,0.10232280551798427,0.051293294362811374,0,0.7662176073499188,0.1780839160587531
0,300000,,0.03529999,0.017649227452434635,0,0.17854931209184915,0.048749356,0.24315403318101225,0.051293294362811374,0,2.4380191382228538,0.5346505818698092
0,400000,,0.036325524,0.017649227452434635,0,0.23554213077295977,0.055555147205032705,0.12212503978905731,0.051293294362811374,0,0.7662176073499188,0.18533832706393438
0,500000,,0.041971024,0.017649227452434635,0,0.23554213077295977,0.063920927,0.17054429712398372,0.051293294362811374,0,1.4467923385736874,0.3358057964266555
0,600000,,0.026852475,0.017649227452434635,0,0.14000312028869358,0.032890658993717015,0.094662565,0.051293294362811374,0,0.4307829160649039,0.11105107455484116
0,700000,,0.033326602,0.017649227452434635,0,0.23554213077295977,0.055524580224315424,0.10232280551798427,0.051293294362811374,0,0.7662176073499188,0.1780839160587531
0,800000,,0.043118769168794334,0.017649227452434635,0,0.23554213077295977,0.065700384,0.699588336,0.051293294362811374,0,12.522634482919269,2.6495758511977083
0,900000,,0.041624479,0.017649227452434635,0,0.23554213077295977,0.059157653,0.16503128571299663,0.051293294362811374,0,1.041768151272835,0.26743232866761435
0,1000000,,0.041562611,0.017649227452434635,0,0.23554213077295977,0.064102166,0.17012928336986158,0.051293294362811374,0,1.4467923385736874,0.33595827010916113
0,1100000,,0.035385194861055035,0.017649227452434635,0,0.23554213077295977,0.055639013,0.11943312296338633,0.051293294362811374,0,0.7662176073499188,0.18299908172177154
0,1200000,,0.033326602,0.017649227452434635,0,0.23554213077295977,0.055524580224315424,0.10232280551798427,0.051293294362811374,0,0.7662176073499188,0.1780839160587531
0,1300000,,0.037491036,0.017649227452434635,0,0.23554213077295977,0.056506591,0.13397112935264047,0.051293294362811374,0,0.7662176073499188,0.21485948304596725
0,1400000,,0.033326602,0.017649227452434635,0,0.23554213077295977,0.055524580224315424,0.10232280551798427,0.051293294362811374,0,0.7662176073499188,0.1780839160587531
0,1500000,,0.036528096,0.017649227452434635,0,0.23554213077295977,0.055730593,0.12615919159121877,0.051293294362811374,0,0.7662176073499188,0.19716357869894394
0,1600000,,0.041971024,0.017649227452434635,0,0.23554213077295977,0.063920927,0.17054429712398372,0.051293294362811374,0,1.4467923385736874,0.3358057964266555
