seed,frequency,decay,step,episode,object,state,js_divergence,kl_divergence,js_finite,kl_finite
,,,700000,,piggie bank,gothit,0.017649227452434635,0.051293294362811374,True,True
,,,700000,,piggie bank,hitter,0.0,0.0,True,True
,,,700000,,piggie bank,inside,0.008743455782136821,0.025317807960296784,True,True
,,,700000,,piggie bank,mouthed,0.004634563876776127,0.013397565747919228,True,True
,,,700000,,piggie bank,thrown,0.0,0.0,True,True
,,,700000,,pink beach ball,gothit,0.07488176160938073,0.22314355128771493,True,True
,,,700000,,pink beach ball,hitter,0.0,0.0,True,True
,,,700000,,pink beach ball,inside,0.0,0.0,True,True
,,,700000,,pink beach ball,kicked,0.055029919352137885,0.16251892947170204,True,True
,,,700000,,pink beach ball,mouthed,0.0,0.0,True,True
,,,700000,,pink beach ball,thrown,0.14000312028869358,0.4307829160649039,True,True
,,,700000,,shape sorter,gothit,0.017649227452434635,0.051293294362811374,True,True
,,,700000,,shape sorter,hitter,0.0,0.0,True,True
,,,700000,,shape sorter,inside,0.017649227452434635,0.051293294362811374,True,True
,,,700000,,shape sorter,mouthed,0.0048912331045348045,0.014141014847699307,True,True
,,,800000,,gear,attached,0.23554213077295977,0.7662176073499188,True,True
,,,800000,,gear,gothit,0.026723723668315127,0.07796154144451208,True,True
,,,800000,,gear,hitter,0.026723723668315127,0.07796154144451208,True,True
,,,800000,,gear,inside,0.017649227452434635,0.051293294362811374,True,True
,,,800000,,gear,mouthed,0.016114344060735534,0.04680274717496348,True,True
,,,800000,,gear,thrown,0.035973756637604035,0.10536051563228144,True,True
,,,800000,,piggie bank,gothit,0.017649227452434635,0.051293294362811374,True,True
,,,800000,,piggie bank,hitter,0.0,0.0,True,True
,,,800000,,piggie bank,inside,0.008743455782136821,0.025317807960296784,True,True
,,,800000,,piggie bank,mouthed,0.004634563876776127,0.013397565747919228,True,True
,,,800000,,piggie bank,thrown,0.0,0.0,True,True
,,,800000,,pink beach ball,gothit,0.07488176160938073,0.22314355128771493,True,True
,,,800000,,pink beach ball,hitter,0.0,0.0,True,True
,,,800000,,pink beach ball,inside,0.0,0.0,True,True
,,,800000,,pink beach ball,kicked,0.055029919352137885,0.16251892947170204,True,True
,,,800000,,pink beach ball,mouthed,0.20397467210486156,12.522634482919269,True,True
,,,800000,,pink beach ball,thrown,0.14000312028869358,0.4307829160649039,True,True
,,,800000,,shape sorter,gothit,0.017649227452434635,0.051293294362811374,True,True
,,,800000,,shape sorter,hitter,0.0,0.0,True,True
,,,800000,,shape sorter,inside,0.017649227452434635,0.051293294362811374,True,True
,,,800000,,shape sorter,mouthed,0.006552070913026165,0.03408266529966046,True,True
,,,900000,,gear,attached,0.23554213077295977,0.7662176073499188,True,True
,,,900000,,gear,gothit,0.026723723668315127,0.07796154144451208,True,True
,,,900000,,gear,hitter,0.026723723668315127,0.07796154144451208,True,True
,,,900000,,gear,inside,0.017649227452434635,0.051293294362811374,True,True
,,,900000,,gear,mouthed,0.016114344060735534,0.04680274717496348,True,True
,,,900000,,gear,thrown,0.035973756637604035,0.10536051563228144,True,True
,,,900000,,piggie bank,gothit,0.05903666711854063,0.32376068607869113,True,True
,,,900000,,piggie bank,hitter,0.0,0.0,True,True
,,,900000,,piggie bank,inside,0.008743455782136821,0.025317807960296784,True,True
,,,900000,,piggie bank,mouthed,0.005836979567028549,0.03018112170216391,True,True
,,,900000,,piggie bank,thrown,0.0,0.0,True,True
