seed,frequency,entropy,decay,step,episode,average_js_divergence,median_js_divergence,min_js_divergence,max_js_divergence,std_js_divergence,average_kl_divergence,median_kl_divergence,min_kl_divergence,max_kl_divergence,std_kl_divergence,num_object_state_pairs,num_finite_js,num_finite_kl,percent_finite_js,percent_finite_kl,num_perfect_separations,num_extreme_values,total_episodes,total_opportunities
,,0.0,,100000,,0.03597356897142641,0.008743455782136821,0.0,0.23554213077295977,0.059651443002373614,0.15922447955776964,0.051293294362811374,0.0,0.9469266549111972,0.26078959266659957,21,21,21,100.0,100.0,0,14,5,104.0
,,0.0,,200000,,0.03073792645697913,0.008743455782136821,0.0,0.20643623343700038,0.051434166042821555,0.11837889627855258,0.04680274717496348,0.0,0.6927251625901685,0.17712300152622476,21,21,21,100.0,100.0,0,13,5,148.0
,,0.0,,300000,,0.033442084231250876,0.016331871503113018,0.0,0.23554213077295977,0.055491074340943726,0.10771495074051077,0.051293294362811374,0.0,0.7662176073499188,0.17720517453464346,21,21,21,100.0,100.0,0,18,5,38.0
,,0.0,,400000,,0.026988069444785386,0.008743455782136821,0.0,0.14000312028869358,0.03916909695235267,0.14601429337117144,0.02820562195353797,0.0,1.183035812473823,0.2687046833400375,21,21,21,100.0,100.0,0,15,5,20.0
,,0.0,,500000,,0.029231542550572313,0.011190249627403878,0.0,0.18029722339353968,0.04692791023592186,0.1253310146989943,0.04680274717496348,0.0,0.740504316762459,0.20629017537128075,21,21,21,100.0,100.0,0,17,5,94.0
,,0.0,,600000,,0.03082031115134064,0.008743455782136821,0.0,0.19633695131197054,0.049249873176887574,0.20773096286563325,0.04680274717496348,0.0,1.9317123175279352,0.4238901125179108,21,21,21,100.0,100.0,0,15,5,50.0
,,0.0,,700000,,0.032036915005707545,0.009208079524645363,0.0,0.23554213077295977,0.056048777098531205,0.1312320360743222,0.040963913540267655,0.0,0.7662176073499188,0.20846290606268056,21,21,21,100.0,100.0,0,16,5,76.0
,,0.0,,800000,,0.035772329365571925,0.017649227452434635,0.0,0.23554213077295977,0.05522143234445472,0.1768619367949644,0.051293294362811374,0.0,1.183035812473823,0.29052297976524616,21,21,21,100.0,100.0,0,17,5,20.0
,,0.0,,900000,,0.03295135881945869,0.017649227452434635,0.0,0.20448317564347332,0.050443698338989595,0.1131805041890742,0.051293294362811374,0.0,0.687492876881295,0.17438859284991792,21,21,21,100.0,100.0,0,17,5,68.0
,,0.0,,1000000,,0.03401195447529198,0.017649227452434635,0.0,0.23554213077295977,0.05535782346745997,0.19633628370174303,0.051293294362811374,0.0,2.015749109959995,0.44385025230125386,21,21,21,100.0,100.0,0,20,5,24.0
,,0.0,,1100000,,0.03453692504848034,0.017649227452434635,0.0,0.23554213077295977,0.05506001033544601,0.18405260194189815,0.051293294362811374,0.0,1.7163257249021917,0.38546521178919896,21,21,21,100.0,100.0,0,21,5,14.0
,,0.0,,1200000,,0.030016085319738577,0.00564191325422278,0.0,0.23554213077295977,0.05643054477026281,0.09314637360505358,0.020326960914138777,0.0,0.7662176073499188,0.18054425100254498,21,21,21,100.0,100.0,0,18,5,22.0
,,0.0,,1300000,,0.030485744303082637,0.016114344060735534,0.0,0.18927832250813012,0.04814909369182807,0.09843576670417023,0.04680274717496348,0.0,0.645781677718656,0.15760434982395036,21,21,21,100.0,100.0,0,16,5,40.0
,,0.0,,1400000,,0.03332660203006324,0.017649227452434635,0.0,0.23554213077295977,0.055524580224315424,0.10232280551798427,0.051293294362811374,0.0,0.7662176073499188,0.1780839160587531,21,21,21,100.0,100.0,0,21,5,10.0
,,0.0,,1500000,,0.037533872520569174,0.016114344060735534,0.0,0.19633695131197054,0.05538853052489778,0.5834951496643552,0.051293294362811374,0.0,9.835723897496633,2.076308447521929,21,21,21,100.0,100.0,0,17,5,50.0
,,0.0,,1600000,,0.02876122732977243,0.017649227452434635,0.0,0.14000312028869358,0.040662668558642937,0.08958938991254588,0.051293294362811374,0.0,0.49881587963571306,0.13434798754877242,21,21,21,100.0,100.0,0,20,5,14.0
,,0.0,,1700000,,0.03758357114718529,0.017649227452434635,0.0,0.23554213077295977,0.055236496640649724,0.19726143735607327,0.051293294362811374,0.0,1.4931471610619451,0.34934747763432,21,21,21,100.0,100.0,0,20,5,16.0
,,0.0,,1800000,,0.03647192337998322,0.017649227452434635,0.0,0.23554213077295977,0.05463706908365681,0.21059839611514375,0.051293294362811374,0.0,2.015749109959995,0.4414047542988208,21,21,21,100.0,100.0,0,20,5,12.0
