flag_id,object_type,object_index,state_name,activity_count
184,farm_toy,0,inrighthandofrobot,0
185,farm_toy,0,inleftreachofrobot,0
186,farm_toy,0,inrightreachofrobot,0
187,farm_toy,0,inside,0
188,farm_toy,0,popup,0
189,farm_toy,0,gothit,0
190,beach_ball,0,infovofrobot,0
191,beach_ball,0,inlefthandofrobot,0
192,beach_ball,0,inrighthandofrobot,0
193,beach_ball,0,inleftreachofrobot,0
194,beach_ball,0,inrightreachofrobot,0
195,beach_ball,0,inside,0
196,beach_ball,0,kicked,0
197,beach_ball,0,thrown,0
198,beach_ball,0,gothit,0
199,beach_ball,0,hitter,0
200,beach_ball,0,mouthed,0
201,piggie_bank,0,infovofrobot,0
202,piggie_bank,0,inlefthandofrobot,0
203,piggie_bank,0,inrighthandofrobot,0
204,piggie_bank,0,inleftreachofrobot,0
205,piggie_bank,0,inrightreachofrobot,0
206,piggie_bank,0,inside,0
207,piggie_bank,0,noise,0
208,piggie_bank,0,open,0
209,piggie_bank,0,thrown,0
210,piggie_bank,0,contains,0
211,piggie_bank,0,gothit,0
212,piggie_bank,0,hitter,0
213,piggie_bank,0,mouthed,0
214,mini_broom,0,infovofrobot,1
215,mini_broom,0,inlefthandofrobot,1
216,mini_broom,0,inrighthandofrobot,0
217,mini_broom,0,inleftreachofrobot,0
218,mini_broom,0,inrightreachofrobot,4
219,mini_broom,0,inside,4
220,mini_broom,0,thrown,0
221,mini_broom,0,attached,2
222,mini_broom,0,gothit,1
223,mini_broom,0,usebrush,1
224,mini_broom,0,hitter,0
225,coin,0,infovofrobot,0
226,coin,0,inlefthandofrobot,0
227,coin,0,inrighthandofrobot,0
228,coin,0,inleftreachofrobot,0
229,coin,0,inrightreachofrobot,0
230,coin,0,inside,0
231,coin,0,thrown,0
232,coin,0,gothit,0
233,coin,0,hitter,0
234,coin,0,mouthed,0
