global_step,update,avg_intrinsic_reward,std_intrinsic_reward
1000,1,4.6539310005755397e-07,1.0004874467849731
2000,2,-0.19961805641651154,0.6289430856704712
3000,3,-0.12437528371810913,0.7442722916603088
4000,4,-0.07465652376413345,0.8368621468544006
5000,5,0.06609469652175903,1.115407943725586
6000,6,-0.050782471895217896,0.8446128964424133
7000,7,-0.247576504945755,0.3686574399471283
8000,8,0.05871954560279846,1.0733728408813477
9000,9,0.019551726058125496,0.9613681435585022
10000,10,-0.07925447821617126,0.831081211566925
11000,11,0.13806118071079254,1.2646065950393677
12000,12,-0.09416258335113525,0.8040086030960083
13000,13,-0.00988340750336647,1.1031562089920044
14000,14,0.28669852018356323,1.2939285039901733
15000,15,0.20206084847450256,1.0849031209945679
16000,16,-0.027280068024992943,0.9529739618301392
17000,17,0.33299899101257324,1.1824337244033813
18000,18,0.32832252979278564,1.2580442428588867
19000,19,0.35334891080856323,1.5605024099349976
20000,20,0.31344521045684814,1.2283014059066772
21000,21,-0.0170713122934103,0.9256401658058167
22000,22,-0.07223410904407501,0.8917732834815979
23000,23,0.2750747799873352,1.1553332805633545
24000,24,0.39679136872291565,1.2896560430526733
25000,25,-0.02914375439286232,0.9583795666694641
26000,26,0.4950465261936188,1.258357286453247
27000,27,0.1878739893436432,1.1280168294906616
28000,28,0.4739418029785156,1.3735936880111694
29000,29,0.6816192865371704,1.5995416641235352
30000,30,0.7536917924880981,1.221850872039795
31000,31,0.28810402750968933,1.2570722103118896
32000,32,0.12283202260732651,1.1792715787887573
33000,33,0.133201003074646,1.010360598564148
34000,34,0.041737399995326996,0.7648611664772034
35000,35,-0.006400727201253176,1.158372163772583
36000,36,-0.1515621840953827,0.821118175983429
37000,37,0.04982810467481613,1.1806626319885254
38000,38,0.2315625250339508,1.545084834098816
39000,39,-0.18762154877185822,0.7567675113677979
40000,40,0.172128364443779,1.1533397436141968
41000,41,-0.4126794934272766,0.24659095704555511
42000,42,0.24525940418243408,1.5733983516693115
43000,43,0.64161217212677,1.6784579753875732
44000,44,0.32156863808631897,1.3910701274871826
45000,45,0.40706631541252136,1.1779136657714844
46000,46,0.3901098966598511,1.1423786878585815
47000,47,0.35247671604156494,1.277655839920044
48000,48,-0.05549730360507965,0.7781047821044922
49000,49,0.3131161630153656,1.094563364982605
